2023-04-04 13:19:35.020; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:20:45.567; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:22:00.668; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:23:00.858; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:24:52.292; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:26:39.463; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 13:45:52.705; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 13:46:56.612; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 14:11:05.293; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 14:12:05.413; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 14:13:06.056; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 14:14:06.175; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 14:15:06.885; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 14:26:44.750; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 14:27:44.751; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-13 12:19:26.102; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-13 12:20:52.243; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-13 12:28:08.556; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-13 12:35:07.541; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-13 12:36:42.598; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-13 12:37:42.665; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-13 12:38:43.387; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-13 12:40:01.267; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-05-04 12:59:58.797; Test signal; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:00:58.927; Test signal; 1; 16; 1000; 5.528; ExG16
2023-05-04 13:01:59.860; Test signal; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:03:00.511; Test signal; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:04:01.341; Saving Test signal; 1; 16; 1000; 5.528; ExG16
2023-05-04 13:10:10.212; Monitoring; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:11:10.889; Saving; 1; 16; 1000; 5.528; ExG16
2023-05-04 13:12:10.872; Saving; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:13:10.922; Saving; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:14:11.570; Monitoring; 1; 16; 1000; 5.528; ExG16
2023-05-04 13:15:11.574; Saving; 0; 16; 1000; 5.528; ExG16
2023-05-04 13:16:11.569; Saving; 1; 16; 1000; 5.528; ExG16
2023-05-04 13:22:33.016; ImpedanceCheck; 0; 32; 250; 5.529; BA DC
2023-05-04 13:23:33.676; Saving Test signal; 1; 32; 250; 5.528; BA DC
2023-05-04 13:28:53.603; Test signal; 1; 32; 250; 5.526; BA DC
2023-05-04 13:29:54.365; Saving Test signal; 1; 32; 250; 5.526; BA DC
2023-05-04 13:33:36.887; Test signal; 1; 32; 250; 5.526; BA DC
2023-05-04 13:34:36.984; Saving Test signal; 0; 32; 250; 5.526; BA DC
